CD_CLIENTE,CD_UNIDADE,CD_FAZENDA,CD_TALHAO,CD_ZONA,CULTURA,DATA_PLANTIO,DATA_COLHEITA,DELTA_TEMPO,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local,el_nino
52,1,104,4514,1,soja,20201104,20210317,133,6,6v1c,6v1c2,6v1c2k,-1
327,1,402,45,1,soja,20221002,20230125,115,6,6vrw,6vrww,6vrww5,-1
360,1,871802,86,1683402,soja,20231122,20240315,114,6,6y21,6y21b,6y21bp,1
315,1,1,4,21,soja,20241016,20250210,117,6,6vep,6vepc,6vepcw,0
1019,543,11,315,2,soja,20251104,20260401,148,6,6yk0,6yk0h,6yk0hs,0
1019,301,10,20,1,soja,20231117,20240402,137,6,6vx5,6vx5w,6vx5wd,1
240,1,1,23,1,soja,20220102,20220425,113,7,7nb3,7nb3t,7nb3t6,-1
1019,461,68,112,1,soja,20231013,20240128,107,6,6v88,6v886,6v8869,1
547,1,10,1003,1,soja,20260105,20260507,122,6,6g7n,6g7n8,6g7n8h,0
350,41,36,31,543,soja,20251201,20260409,129,6,6vze,6vzen,6vzent,0
10,1,1,143,1,soja,20241021,20250214,116,6,6tqm,6tqmm,6tqmmw,0
1019,181,44,16,2,soja,20241013,20250125,104,6,6vfd,6vfdy,6vfdyj,0
382,42,4,22,2,soja,20241030,20250304,125,6,6v5m,6v5mb,6v5mbq,0
277,1,1,21,1,soja,20221102,20230321,139,6,6vz8,6vz81,6vz81y,-1
36,1,1,22,2,soja,20200929,20210125,118,6,6v85,6v85g,6v85gh,0
52,1,22,226,3,soja,20211112,20220305,113,6,6ucx,6ucxx,6ucxxn,-1
299,1,6,9,1,soja,20221022,20230321,150,6,6y28,6y280,6y2809,-1
239,1,1,29,1,soja,20211019,20220210,114,6,6y11,6y11x,6y11xe,-1
370,1,1,7,3,soja,20251110,20260308,118,6,6vng,6vngw,6vngw2,0
27,1,1,22,1,soja,20201121,20210417,147,6,6vzt,6vzts,6vztsp,-1
10,1,1,565,1,soja,20231009,20240306,149,6,6tqt,6tqt3,6tqt3x,1
10,101,2,25,2,soja,20201112,20210313,121,6,6trh,6trh8,6trh8g,-1
267,1,1,9,8,soja,20220928,20230205,130,6,6tw4,6tw4r,6tw4rb,-1
49,2,2,11,2,soja,20241119,20250313,114,6,6vff,6vffc,6vffc5,0
360,61,572302,1614202,572802,soja,20231005,20240206,124,6,6ucq,6ucqk,6ucqk1,1
327,41,401,1,1,soja,20231211,20240422,133,6,6yrf,6yrfm,6yrfmw,1
238,61,1,106,2,soja,20211210,20220329,109,6,6trt,6trt8,6trt84,-1
444,1,1,3,14,soja,20240103,20240526,144,6,6f4x,6f4xu,6f4xut,1
1019,81,83,204,2,soja,20231026,20240212,109,6,6udt,6udtf,6udtf4,1
1019,181,44,107,2,soja,20241107,20250314,127,6,6vfg,6vfg0,6vfg01,0
267,1,1,15,3,soja,20221005,20230209,127,6,6tw4,6tw4n,6tw4nu,-1
392,41,21,11,1,soja,20241101,20250226,117,6,6ywk,6ywk2,6ywk25,0
299,1,7,3,1,soja,20221031,20230301,121,6,6y22,6y22p,6y22p7,-1
4,2,2,28,4,soja,20201027,20210209,105,6,6vb6,6vb69,6vb69j,-1
27,1,1,29,5,soja,20201116,20210401,136,6,6vzt,6vztk,6vztkc,-1
444,1,1,2,13,soja,20240103,20240521,139,6,6f4x,6f4xe,6f4xev,1
30,1,1,21,1,soja,20201202,20210406,125,6,6yrn,6yrne,6yrned,-1
175,1,1,21,1,soja,20201105,20210305,120,6,6ym3,6ym39,6ym39c,-1
329,1,1,1013,2,soja,20221106,20230415,160,6,6ytj,6ytjb,6ytjbf,-1
1019,321,46,214,1,soja,20231118,20240326,129,6,6vxt,6vxt8,6vxt89,1
52,1,77,3304,3,soja,20201102,20210303,121,6,6v18,6v18m,6v18m6,-1
52,1,15,429,3,soja,20221102,20230301,119,6,6ucx,6ucxx,6ucxxz,-1
27,1,1,20,2,soja,20201120,20210411,142,6,6vzt,6vzty,6vztyc,-1
221,41,25,23,25,soja,20231012,20240209,120,6,6u07,6u07s,6u07sj,1
221,41,25,23,25,soja,20231012,20240209,120,6,6u07,6u07s,6u07sj,1
10,1,1,3,1,soja,20201012,20210126,106,6,6tqt,6tqtf,6tqtfr,-1
444,1,1,10,28,soja,20240102,20240517,136,6,6f4x,6f4xe,6f4xeq,1
177,1,101,23,1,soja,20231016,20240117,93,6,6vz0,6vz0j,6vz0jy,1
1019,421,74,110,1,soja,20231013,20240217,127,6,6tqz,6tqze,6tqze8,1
30,41,2,111,1,soja,20251127,20260501,155,6,6yx8,6yx8x,6yx8x9,0
1019,241,2,17,1,soja,20231128,20240301,94,6,6vn5,6vn5p,6vn5p1,1
1019,321,46,101,1,soja,20231102,20240305,124,6,6vxm,6vxmk,6vxmkf,1
1019,301,10,17,1,soja,20231102,20240322,141,6,6vx5,6vx5v,6vx5v6,1
392,41,21,4,3,soja,20251218,20260414,117,6,6ywk,6ywk8,6ywk8x,0
392,61,20,32,1,soja,20250920,20260201,134,6,6gsm,6gsms,6gsms6,0
42,42,18,305,1,soja,20231209,20240411,124,6,6yru,6yru8,6yru8p,1
42,42,18,305,1,soja,20231209,20240411,124,6,6yru,6yru8,6yru8p,1
436,61,3,21,1,soja,20241101,20250221,112,6,6vzw,6vzwc,6vzwcx,0
1019,441,70,147,1,soja,20231019,20240210,114,6,6wpb,6wpbx,6wpbxu,1
1019,141,8,28,1,soja,20231027,20240215,111,6,6yqx,6yqxx,6yqxx4,1
1019,221,39,210,2,soja,20231025,20240215,113,6,6tzy,6tzy8,6tzy8m,1
1019,542,4,236,2,soja,20251112,20260216,96,6,6yrn,6yrn7,6yrn74,0
436,41,2,28,1,soja,20241009,20250211,125,6,6vzs,6vzs1,6vzs1j,0
400,1,10,1,1,soja,20241105,20250209,96,6,6txm,6txm0,6txm0s,0
52,1,15,432,2,soja,20201207,20210329,112,6,6ucx,6ucxz,6ucxz9,-1
52,1,116,5708,3,soja,20201205,20210402,118,6,6ucx,6ucxk,6ucxkp,-1
127,1,1,53,3,soja,20201105,20210312,127,6,6vq8,6vq8w,6vq8we,-1
359,1,1,30,1,soja,20241214,20250406,113,7,7n8h,7n8h1,7n8h1q,0
1019,521,500,24,1,soja,20251024,20260309,136,6,6vf7,6vf7g,6vf7gw,0
299,1,6,13,1,soja,20221012,20230205,116,6,6y0r,6y0rz,6y0rzv,-1
184,1,1,25,1,soja,20201211,20210519,159,6,6yx9,6yx9v,6yx9vc,-1
52,1,107,4534,1,soja,20211212,20220408,117,6,6v1c,6v1cb,6v1cb0,-1
1019,181,44,10,1,soja,20231024,20240213,112,6,6vfe,6vfeq,6vfeqs,1
1019,181,44,44,2,soja,20241104,20250224,112,6,6vfg,6vfg8,6vfg8p,0
52,1,50,474,2,soja,20211201,20220409,129,6,6ucz,6ucz9,6ucz9f,-1
221,41,25,63,25,soja,20231122,20240312,111,6,6u07,6u07w,6u07wk,1
24,1,1001,33,1,soja,20211017,20220305,139,6,6uge,6uge5,6uge5e,-1
1019,543,11,303,1,soja,20251108,20260302,114,6,6yk0,6yk07,6yk078,0
1019,381,93,216,2,soja,20241117,20250405,139,6,6vxs,6vxs8,6vxs8e,0
361,1,1,353,1,soja,20230510,20230808,90,6,6vus,6vusu,6vusuj,0
309,1,1,12,1,soja,20251109,20260205,88,6,6trz,6trzf,6trzf2,0
350,1,35,1,302,soja,20221105,20230323,138,6,6vxn,6vxnn,6vxnnz,-1
444,1,1,1,24,soja,20231211,20240425,136,6,6f4x,6f4xu,6f4xu4,1
315,1,1,1,4,soja,20221010,20230220,133,6,6vf8,6vf8n,6vf8ne,-1
1019,141,8,39,1,soja,20231008,20240229,144,6,6yqx,6yqxn,6yqxnr,1
177,1,101,3,1,soja,20201123,20210401,129,6,6vz0,6vz0m,6vz0m2,-1
1019,341,23,22,1,soja,20231206,20240402,118,6,6yrs,6yrs6,6yrs68,1
444,1,1,8,2,soja,20241125,20250424,150,6,6f4x,6f4xs,6f4xsm,0
1019,81,83,229,2,soja,20231024,20240221,120,6,6udw,6udw6,6udw6d,1
278,1,18,6,13,soja,20231120,20240319,120,6,6y7u,6y7u8,6y7u8e,1
52,1,125,4650,1,soja,20221114,20230405,142,6,6v1c,6v1ct,6v1ctq,-1
1019,301,10,32,1,soja,20241102,20250331,149,6,6vx5,6vx5s,6vx5sy,0
1019,321,46,117,1,soja,20231207,20240403,118,6,6vxm,6vxms,6vxmsp,1
329,1,1,1008,1,soja,20221113,20230208,87,6,6ytj,6ytjb,6ytjbj,-1
350,1,35,3,111,soja,20221201,20230401,121,6,6vxq,6vxq3,6vxq3h,0
1019,381,93,125,1,soja,20231116,20240402,138,6,6vxs,6vxs2,6vxs29,1
267,1,1,2,8,soja,20221006,20230124,110,6,6tw4,6tw4r,6tw4rs,-1
487,1,2,2,4,soja,20241104,20250305,121,6,6vqq,6vqqc,6vqqcb,0
1019,421,74,179,1,soja,20230915,20231226,102,6,6tqz,6tqzn,6tqzn4,1
1019,361,22,305,1,soja,20231229,20240402,95,6,6ypd,6ypdm,6ypdmq,1
439,1,2,25,2,soja,20241107,20250311,124,7,7h86,7h867,7h8678,0
1019,181,44,111,2,soja,20241105,20250311,126,6,6vfg,6vfg0,6vfg0w,0
444,1,1,1,18,soja,20231205,20240503,150,6,6f4x,6f4xu,6f4xu4,1
450,1,1,17,1,soja,20251211,20260505,145,6,6v10,6v10c,6v10c5,0
327,1,402,27,1,soja,20221011,20230131,112,6,6vrw,6vrw5,6vrw5n,-1
1019,441,70,155,2,soja,20241119,20250213,86,6,6y00,6y008,6y008c,0
232,1,3,1,7,soja,20211001,20220114,105,6,6tzy,6tzyk,6tzykt,-1
10,1,1,558,1,soja,20230919,20240213,147,6,6tqt,6tqt8,6tqt8y,1
444,1,1,2,14,soja,20240116,20240526,131,6,6f4x,6f4xe,6f4xev,1
444,1,1,2,12,soja,20250106,20250504,118,6,6f4x,6f4xe,6f4xev,0
52,1,16,437,2,soja,20201107,20210329,142,6,6ucx,6ucxz,6ucxzs,-1
52,1,89,1206,1,soja,20221021,20230309,139,6,6v1b,6v1b0,6v1b0c,-1
1019,381,93,311,3,soja,20241220,20250402,103,6,6vxk,6vxkv,6vxkvr,0
360,61,572302,1616402,572802,soja,20231024,20240225,124,6,6ucq,6ucqk,6ucqkg,1
52,1,104,4512,1,soja,20201104,20210317,133,6,6v1c,6v1c2,6v1c27,-1
390,1,3,4,1,soja,20231102,20240226,116,6,6vjd,6vjdd,6vjddk,1
468,1,1,16,1,soja,20241214,20250401,108,6,6ykx,6ykxe,6ykxe3,0
444,1,1,5,26,soja,20231127,20240421,146,6,6f4x,6f4xv,6f4xvj,1
221,41,25,35,25,soja,20231201,20240322,112,6,6u07,6u07u,6u07ug,1
52,1,114,5683,2,soja,20211112,20220414,153,6,6ucy,6ucyv,6ucyvy,-1
444,1,1,16,18,soja,20231205,20240509,156,6,6f4x,6f4xs,6f4xs2,1
1019,461,68,142,1,soja,20231003,20240214,134,6,6v88,6v88e,6v88e8,1
267,1,1,5,5,soja,20221018,20230207,112,6,6tw4,6tw4r,6tw4rd,-1
487,1,2,3,2,soja,20241110,20250304,114,6,6vqn,6vqnw,6vqnwt,0
253,1,3,5,3,soja,20220115,20220402,77,6,6yrg,6yrgw,6yrgwt,-1
436,41,2,131,1,soja,20241216,20250305,79,6,6vz7,6vz7z,6vz7z6,0
1019,141,8,58,1,soja,20231018,20240217,122,6,6yqx,6yqxx,6yqxxv,1
379,41,5001,11,1,soja,20231020,20240307,139,6,6vxd,6vxd5,6vxd52,1
1022,1,5,65,65,soja,20251117,20260205,80,6,6vre,6vrev,6vrevr,0
444,1,1,3,2,soja,20241124,20250424,151,6,6f4x,6f4xu,6f4xut,0
1019,241,2,78,1,soja,20231005,20240215,133,6,6vn5,6vn5u,6vn5u6,1
52,1,4,9,1,soja,20201023,20210225,125,6,6v1b,6v1b2,6v1b2p,-1
52,1,98,3707,2,soja,20221125,20230401,127,6,6ucw,6ucwz,6ucwzt,-1
1019,261,64,32,1,soja,20231124,20240401,129,6,6yrp,6yrpq,6yrpqr,1
52,1,17,87,3,soja,20221102,20230226,116,6,6v1b,6v1b0,6v1b01,-1
42,1,1102,110,1,soja,20221123,20230404,132,6,6yrz,6yrze,6yrzey,-1
323,1,5130,3,1,soja,20221023,20230317,145,6,6udw,6udwk,6udwkc,-1
42,81,21,44,1,soja,20251107,20260304,117,6,6yvb,6yvby,6yvbym,0
52,1,10,34,3,soja,20201202,20210322,110,6,6ucx,6ucxv,6ucxve,-1
221,1,4,38,17,soja,20231016,20240215,122,6,6u02,6u02w,6u02wm,1
392,1,15,115,2,soja,20231026,20240316,142,6,6yrj,6yrj8,6yrj8s,1
42,101,60,1,1,soja,20251108,20260309,121,6,6yxv,6yxvw,6yxvw6,0
1019,161,18,204,1,soja,20231101,20240315,135,6,6vzj,6vzjz,6vzjzb,1
1019,543,11,324,2,soja,20251101,20260407,157,6,6yhp,6yhpe,6yhpey,0
278,1,18,3,9,soja,20221110,20230401,142,6,6y7g,6y7gc,6y7gce,-1
52,1,88,1103,2,soja,20231201,20240419,140,6,6ucz,6ucz3,6ucz3q,1
52,1,50,474,4,soja,20201108,20210415,158,6,6ucz,6ucz9,6ucz9f,-1
240,1,1,33,1,soja,20220102,20220501,119,7,7nb3,7nb3q,7nb3qq,-1
392,41,21,7,1,soja,20241106,20250306,120,6,6ywk,6ywkb,6ywkbd,0
426,1,1,1,1,soja,20231107,20240301,115,7,7n84,7n849,7n849m,1
27,1,1,50,2,soja,20221109,20230312,123,6,6vzt,6vztn,6vztn7,-1
27,1,1,50,2,soja,20221109,20230312,123,6,6vzt,6vztn,6vztn7,-1
42,103,59,60,1,soja,20251124,20260412,139,6,6yrm,6yrmt,6yrmtk,0
52,1,103,4557,1,soja,20211201,20220403,123,6,6v1c,6v1cu,6v1cu1,-1
483,1,1,3,1,soja,20241007,20250123,108,6,6twq,6twq4,6twq4z,0
177,42,107,4,1,soja,20210119,20210410,81,6,6yr5,6yr5m,6yr5mc,-1
221,41,24,4,24,soja,20231123,20240325,123,6,6u07,6u07d,6u07dp,1
42,42,1101,237,1,soja,20231225,20240401,98,6,6yru,6yru2,6yru25,1
444,1,1,3,12,soja,20250106,20250504,118,6,6f4x,6f4xu,6f4xut,0
330,1,88,17,1,soja,20230104,20230514,130,6,6f68,6f68k,6f68ks,0
52,1,82,702,2,soja,20201019,20210217,121,6,6v1b,6v1b1,6v1b1m,-1
315,61,3,11,11,soja,20231227,20240325,89,6,6vfr,6vfrw,6vfrwv,1
10,1,1,228,1,soja,20231003,20240228,148,6,6tqm,6tqmt,6tqmt7,1
267,1,1,65,7,soja,20221021,20230219,121,6,6tw4,6tw4w,6tw4wb,-1
327,41,401,1,2,soja,20231106,20240315,130,6,6yrf,6yrfm,6yrfmw,1
1019,421,74,127,1,soja,20231026,20240213,110,6,6tqz,6tqzv,6tqzvb,1
1019,421,74,127,1,soja,20231026,20240213,110,6,6tqz,6tqzv,6tqzvb,1
286,1,1,11,1,soja,20221101,20230210,101,6,6ttg,6ttgs,6ttgs4,-1
30,41,2,27,1,soja,20201202,20210321,109,6,6yx8,6yx84,6yx84p,-1
1019,301,10,7,1,soja,20231101,20240403,154,6,6vx5,6vx5x,6vx5xn,1
481,1,1,1,1,soja,20241111,20250312,121,6,6uf5,6uf51,6uf51c,0
309,1,2,11,2,soja,20251108,20260310,122,6,6txb,6txbd,6txbdp,0
413,1,2,4,4,soja,20231020,20240213,116,6,6vbj,6vbjg,6vbjgb,1
52,1,79,3504,1,soja,20201107,20210315,128,6,6ucz,6uczg,6uczg6,-1
175,62,2,56,2,soja,20211028,20220208,103,6,6yk9,6yk9s,6yk9s0,-1
413,1,2,6,6,soja,20231003,20240112,101,6,6vbn,6vbn6,6vbn64,1
1019,381,93,205,2,soja,20231025,20240318,145,6,6vxk,6vxkq,6vxkq3,1
42,1,1102,134,1,soja,20231220,20240405,107,6,6yxb,6yxb2,6yxb2h,1
52,1,12,51,3,soja,20211101,20220305,124,6,6ucx,6ucxq,6ucxqe,-1
10,1,1,123,1,soja,20231027,20240223,119,6,6tqm,6tqmr,6tqmre,1
51,1,12,17,1,soja,20211117,20220403,137,6,6vzq,6vzq0,6vzq0c,-1
1019,161,18,408,1,soja,20231101,20240301,121,6,6vzq,6vzq8,6vzq85,1
335,1,2,17,1,soja,20251013,20260204,114,6,6tyw,6tywp,6tywpq,0
30,1,1,19,1,soja,20221114,20230215,93,6,6yrn,6yrne,6yrney,-1
1019,221,39,203,1,soja,20241111,20250301,110,6,6tzy,6tzy0,6tzy0n,0
1019,543,11,313,2,soja,20251030,20260221,114,6,6yk0,6yk0h,6yk0h7,0
1019,241,2,221,3,soja,20231114,20240328,135,6,6vnu,6vnu6,6vnu61,1
360,81,6925353402,6925684402,1,soja,20241029,20250226,120,6,6v0e,6v0ee,6v0ee7,0
466,1,1,30,1,soja,20241019,20250216,120,6,6yxc,6yxcx,6yxcxb,0
52,1,4,4,1,soja,20201019,20210219,123,6,6v18,6v18r,6v18r8,-1
1019,141,8,29,1,soja,20231024,20240229,128,6,6yqx,6yqxr,6yqxrr,1
52,1,47,467,1,soja,20251108,20260316,128,6,6v18,6v18p,6v18pe,0
329,1,1,1036,3,soja,20221122,20230328,126,6,6ytj,6ytjb,6ytjbt,-1
360,81,6925353402,6925688802,1,soja,20241031,20250307,127,6,6v0e,6v0ee,6v0ee5,0
221,41,25,57,25,soja,20231023,20240222,122,6,6u07,6u07y,6u07ys,1
436,61,3,19,1,soja,20241023,20250223,123,6,6vzx,6vzx1,6vzx10,0
315,41,2,10,1,soja,20221013,20230303,141,6,6v0t,6v0t7,6v0t7u,-1
30,61,3,342,1,soja,20211028,20220216,111,6,6yqz,6yqz3,6yqz31,-1
27,1,1,32,5,soja,20201116,20210405,140,6,6vzt,6vztg,6vztgs,-1
175,1,1,31,7,soja,20211106,20220212,98,6,6ym3,6ym3d,6ym3d0,-1
327,1,402,6,1,soja,20221025,20230223,121,6,6vrw,6vrw7,6vrw7c,-1
444,1,1,2,23,soja,20231212,20240514,154,6,6f4x,6f4xe,6f4xev,1
413,1,2,4,13,soja,20231015,20240201,109,6,6vbj,6vbjg,6vbjgb,1
1019,301,10,30,1,soja,20241103,20250313,130,6,6vx5,6vx5t,6vx5tq,0
327,1,402,1,1,soja,20221030,20230227,120,6,6vrw,6vrw5,6vrw5g,-1
1019,381,93,521,5,soja,20231028,20240313,137,6,6vxs,6vxsz,6vxszh,1
267,1,1,14,3,soja,20221022,20230224,125,6,6tw4,6tw4n,6tw4nv,-1
1019,181,44,54,1,soja,20231028,20240223,118,6,6vfe,6vfez,6vfezs,1
444,1,1,3,13,soja,20240104,20240526,143,6,6f4x,6f4xu,6f4xut,1
330,1,88,4,1,soja,20230106,20230514,128,6,6f68,6f68k,6f68ke,0
392,41,21,8,3,soja,20251122,20260331,129,6,6ywh,6ywhp,6ywhpu,0
379,61,4001,217,4,soja,20231125,20240412,139,6,6gk6,6gk6h,6gk6hy,1
177,42,107,1,3,soja,20201212,20210407,116,6,6yr7,6yr70,6yr70e,-1
221,63,23,25,3,soja,20251107,20260318,131,6,6v1g,6v1gw,6v1gwy,0
52,1,125,4657,1,soja,20221116,20230310,114,6,6v1f,6v1fn,6v1fn7,-1
1019,381,93,529,5,soja,20231030,20240313,135,6,6vxs,6vxsz,6vxszq,1
1019,201,62,11,1,soja,20231012,20240119,99,6,6tx0,6tx0m,6tx0mc,1
360,101,3419374803,3439686503,2,soja,20250918,20260118,122,6,6v2k,6v2kd,6v2kd2,0
52,1,11,44,3,soja,20201121,20210327,126,6,6ucx,6ucxm,6ucxmu,-1
52,1,101,5119,3,soja,20201208,20210405,118,6,6ucx,6ucxk,6ucxky,-1
256,1,1,27,1,soja,20241021,20250214,116,6,6vcm,6vcmv,6vcmv9,0
361,1,1,341,1,soja,20230503,20230815,104,6,6vus,6vusy,6vusy0,0
390,1,4,3,1,soja,20231126,20240429,155,6,6vjd,6vjdg,6vjdgb,1
275,41,500,80,1000,soja,20251104,20260326,142,6,6v5p,6v5p4,6v5p4b,0
1019,401,77,202,2,soja,20231205,20240302,88,6,6v2n,6v2n2,6v2n26,1
52,1,4,16,1,soja,20201022,20210224,125,6,6v18,6v18r,6v18r0,-1
52,1,110,5601,2,soja,20211117,20220323,126,6,6ucz,6ucz1,6ucz1e,-1
221,41,25,55,25,soja,20231025,20240224,122,6,6u07,6u07y,6u07y6,1
1019,201,62,37,1,soja,20231016,20240117,93,6,6tx0,6tx0h,6tx0hg,1
