cd_id,cd_cliente,cd_unidade,cd_id_talhao,cd_fazenda,cd_zona,cd_talhao,desc_operac,processo_macro,data_operacao,DAP,semana_ano,id_safra,geohash_macro,geohash_regional,geohash_sub_regional,geohash_local
615395000024,24,1,1355205626000024,1001,1,5,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-11-01,1,44,604,6,6ugd,6ugdu,6ugdud
615395000024,24,1,1355205626000024,1001,1,5,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-11-13,13,46,604,6,6ugd,6ugdu,6ugdud
615397000024,24,1,1355205626000024,1001,1,5,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-11,41,50,604,6,6ugd,6ugdu,6ugdud
615397000024,24,1,1355205626000024,1001,1,5,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-23,53,52,604,6,6ugd,6ugdu,6ugdud
615401000024,24,1,1355205626000024,1001,1,5,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-30,60,1,604,6,6ugd,6ugdu,6ugdud
615401000024,24,1,1355205626000024,1001,1,5,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-20,81,4,604,6,6ugd,6ugdu,6ugdud
615403000024,24,1,1355205626000024,1001,1,5,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-26,118,9,604,6,6ugd,6ugdu,6ugdud
573788000013,13,3,974065406000013,2,45,5,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-04,0,40,606,6,6v84,6v84k,6v84k2
42224560000024,24,1,1355205628000024,1001,1,6,Plantio Mecanizado - Soja,plantio,2024-10-31,0,44,606,6,6ugd,6ugdu,6ugdu6
615395000024,24,1,1355205628000024,1001,1,6,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-11-12,12,46,606,6,6ugd,6ugdu,6ugdu6
615397000024,24,1,1355205628000024,1001,1,6,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-11,41,50,606,6,6ugd,6ugdu,6ugdu6
615397000024,24,1,1355205628000024,1001,1,6,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-23,53,52,606,6,6ugd,6ugdu,6ugdu6
615401000024,24,1,1355205628000024,1001,1,6,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-30,60,1,606,6,6ugd,6ugdu,6ugdu6
615401000024,24,1,1355205628000024,1001,1,6,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-20,81,4,606,6,6ugd,6ugdu,6ugdu6
615403000024,24,1,1355205628000024,1001,1,6,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-25,117,9,606,6,6ugd,6ugdu,6ugdu6
573788000013,13,3,974065408000013,2,45,6,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-04,0,40,607,6,6v84,6v84k,6v84k0
615395000024,24,1,1355205629000024,1001,1,7,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-10-30,0,44,607,6,6ugd,6ugdu,6ugduk
42224560000024,24,1,1355205629000024,1001,1,7,Plantio Mecanizado - Soja,plantio,2024-10-30,0,44,607,6,6ugd,6ugdu,6ugduk
615395000024,24,1,1355205629000024,1001,1,7,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-11-12,13,46,607,6,6ugd,6ugdu,6ugduk
615397000024,24,1,1355205629000024,1001,1,7,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-11,42,50,607,6,6ugd,6ugdu,6ugduk
615397000024,24,1,1355205629000024,1001,1,7,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-23,54,52,607,6,6ugd,6ugdu,6ugduk
615401000024,24,1,1355205629000024,1001,1,7,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-30,61,1,607,6,6ugd,6ugdu,6ugduk
615401000024,24,1,1355205629000024,1001,1,7,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-20,82,4,607,6,6ugd,6ugdu,6ugduk
615403000024,24,1,1355205629000024,1001,1,7,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-25,118,9,607,6,6ugd,6ugdu,6ugduk
573788000013,13,3,974065412000013,2,45,7,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-04,0,40,608,6,6v84,6v84k,6v84k0
42224560000024,24,1,1355205630000024,1001,1,8,Plantio Mecanizado - Soja,plantio,2024-10-29,0,44,608,6,6ugd,6ugdu,6ugdus
615395000024,24,1,1355205630000024,1001,1,8,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-10-31,2,44,608,6,6ugd,6ugdu,6ugdus
615395000024,24,1,1355205630000024,1001,1,8,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2024-11-14,16,46,608,6,6ugd,6ugdu,6ugdus
615397000024,24,1,1355205630000024,1001,1,8,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-12,44,50,608,6,6ugd,6ugdu,6ugdus
615397000024,24,1,1355205630000024,1001,1,8,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2024-12-22,54,51,608,6,6ugd,6ugdu,6ugdus
615401000024,24,1,1355205630000024,1001,1,8,T. Culturais - Controle de Doença - Soja,fungicida,2024-12-30,62,1,608,6,6ugd,6ugdu,6ugdus
615401000024,24,1,1355205630000024,1001,1,8,T. Culturais - Controle de Doença - Soja,fungicida,2025-01-20,83,4,608,6,6ugd,6ugdu,6ugdus
615403000024,24,1,1355205630000024,1001,1,8,TC Aplicação Dessecação da Cultura - Soja,herbicida,2025-02-25,119,9,608,6,6ugd,6ugdu,6ugdus
573788000013,13,3,50221260000013,3,46,1,PLANTIO DE SOJA SEM ADUBO,outros,2023-10-10,0,41,611,6,6v85,6v853,6v853r
42224560000024,24,1,1355205659000024,2001,1,102,Plantio Mecanizado - Soja,plantio,2023-10-12,0,41,611,6,6uge,6uge3,6uge3h
615395000024,24,1,1355205659000024,2001,1,102,T. Culturais - Dessecação Pré-Plantio - Soja,herbicida,2023-10-23,11,43,611,6,6uge,6uge3,6uge3h
615397000024,24,1,1355205659000024,2001,1,102,T. Culturais - Aplicação Pós-Emergente - Soja,herbicida,2023-11-12,31,45,611,6,6uge,6uge3,6uge3h
